og	c	46662
hann	f	36785
vera	s	31187
að	c	26449
það	f	18408
í	a	17624
á	a	13012
til	a	11998
en	c	11780
sem	c	10845
ég	f	10815
hafa	s	10643
sá	f	9246
þá	a	8607
svo	a	8030
hún	f	7667
af	a	7638
með	a	7603
allur	f	7058
þessi	f	6788
þú	f	6745
maður	nk	6725
sinn	f	6485
segja	s	6292
er	c	6051
koma	s	5838
þar	a	5743
fyrir	a	5661
um	a	5653
við	a	5521
ekki	a	5319
að	a	4990
nú	a	4752
sig	f	4695
verða	s	4194
hver	f	4131
eg	f	3985
fara	s	3763
mikill	l	3524
annar	f	3511
taka	s	3317
vér	f	3276
eftir	a	3221
minn	f	3086
eiga	s	3050
skulu	s	2846
sjá	s	2823
upp	a	2811
vilja	s	2810
munu	s	2804
ganga	s	2602
eigi	a	2373
láta	s	2265
þó	a	2251
þér	f	2143
frá	a	2114
margur	l	2051
ef	c	2022
hinn	g	1999
góður	l	1949
einn	t	1945
gera	s	1881
vel	a	1859
mega	s	1817
eða	c	1778
þinn	f	1760
fá	s	1701
út	a	1695
mæla	s	1645
úr	a	1638
enginn	f	1612
dagur	nk	1608
konungur	nk	1604
þykja	s	1582
halda	s	1521
síðan	a	1510
hér	a	1502
guð	nk	1498
geta	s	1496
vita	s	1483
þegar	c	1466
nokkur	f	1462
bera	s	1418
standa	s	1393
gefa	s	1388
yfir	a	1379
sjálfur	f	1373
finna	s	1349
Guð	nk	1348
biskup	nk	1332
fram	a	1325
gjöra	s	1312
hönd	nv	1306
eins	a	1293
heita	s	1272
mjög	a	1258
biðja	s	1241
leggja	s	1200
aftur	a	1131
orð	nh	1126
land	nh	1111
kveða	s	1069
hjá	a	1037
lítill	l	1035
áður	a	1035
kóngur	nk	1017
inn	a	1017
undir	a	1007
herra	nk	1004
ei	a	985
kalla	s	952
sonur	nk	948
staður	nk	944
faðir	nk	927
snemmt	a	923
mál	nh	902
setja	s	899
Jesús	nk	893
því	a	880
heyra	s	878
vor	f	873
ríða	s	872
spyrja	s	865
tala	s	864
bróðir	nk	849
svara	s	848
heim	a	826
ætla	s	825
búa	s	822
gjarna	a	805
líf	nh	790
einhver	f	784
sitja	s	776
liggja	s	775
enn	a	750
einn	f	748
saman	a	739
